Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.d
A0A024RBG1				35265	39227.7	41275	39401.7
A0A096LP01				3444.62	1530.47	2615.5	3004.8
A0A096LP49				3657.86		3664.1	2332.45
A0A0B4J2D5				66742.5	68063.9	68876.2	68388.2
A0A0B4J2F0				28540.7	28457.2	27549.5	27178.5
A0A0B4J2F2				10960.5	15547.7	8923.52	9021.58
A0A0U1RRE5				4101.83	2453.75	1314.89	2274.08
A0AV96				25735.6	26794.5	32173.1	33317.1
A0AVF1				6366.79	7679.3	6931.66	4074.98
A0AVT1				71588.1	78073	79099.8	84283.3
A0FGR8				74704.1	72034.7	71313.8	74388.6
A0JLT2				8335.63	7548.32	8326.26	8802.71
A0JNW5				5450.76	6607.05	4219.59	3517.6
A0MZ66				58619.2	63804.5	64457.7	56994.5
A0PJW6				34652.4	32336.2	34963.7	31499.8
A0PK00				37737.7	24721.3	29905.7	25171.3
A1A4S6				9146.57	6765.36	7415.27	9983.13
A1L0T0				113567	118416	114928	120480
A1L390				14148.7	14384.3	18227	12203.6
A1X283				26060.8	27865.8	27605.6	28893.5
A2RRP1				32261.1	29482.5	31096.7	24506.3
A2RTX5				8121.97	6005.3	7149.63	2991.17
A2RUC4				13530.4	12224.3	12916.1	13605
A2RUS2				28821.2	26394.6	20456.5	39025.1
A3KMH1				22154.6	21134.3	22014.5	23408
A3KN83				78463.6	80534.4	73668.9	71898.2
A4D1E9				44973.4	41188.8	37380.2	38252.9
A4D1P6				18568.8	15709.1	15392.8	13420.8
A4D2B0					6879.91	6633.76	
A5A3E0				26359.6	27151	26574.3	21988.7
A5D8V6				14414.8	16370.4	16488.2	13980
A5PLL7				8969.58	8329.26	7678.19	10541.1
A5PLN9				7686.49	8031.49	9119.45	8858.5
A5YKK6				114141	106123	105474	101529
A5YM69					2866.06		
A6H8Y1				3244.05	1041.51		
A6NCC3				24245.4	21801.3	22505.6	26611.6
A6NCE7				145269	128575	124942	152912
A6ND36				4626.87	4400.81	8518.62	6272.06
A6NDG6				172479	175973	177978	176264
A6NDU8				58645.6	24736.7	32482.1	33939.1
