PG.ProteinAccessions	[1] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.htrms.PG.Quantity	[2] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.htrms.PG.Quantity	[3] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.htrms.PG.Quantity	[4] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.htrms.PG.Quantity
A0A024RBG1	243.98822021484375	320.4084167480469	270.5158996582031	264.6507873535156
A0A096LP01	62.58509826660156	51.51808166503906	75.81771850585938	65.46076965332031
A0A096LP49	63.15446090698242	22.74674415588379	28.763093948364258	40.671913146972656
A0A0B4J2A2	15509.0419921875	15146.0087890625	14960.8720703125	NaN
A0A0B4J2D5;P0DPI2	1215.0557861328125	1179.947509765625	1126.370361328125	1205.3721923828125
A0A0B4J2F0	345.4830322265625	418.6369323730469	379.01300048828125	364.0094299316406
A0A0B4J2F2;P57059	118.72349548339844	177.07164001464844	164.60556030273438	93.27607727050781
A0A0U1RRE5	158.05801391601562	144.60513305664062	136.18026733398438	166.5241241455078
A0A0U1RRL7	37.51918411254883	33.73365783691406	19.600078582763672	22.655410766601562
A0A3B3IU46	118.6490478515625	147.7152099609375	106.10748291015625	126.4731674194336
A0AV96	515.525634765625	518.4449462890625	518.1917114257812	554.1344604492188
A0AVF1	111.67720794677734	116.95429992675781	93.98529052734375	125.61174011230469
A0AVT1	1135.484619140625	1108.9296875	1125.3455810546875	1066.3533935546875
A0FGR8	633.8086547851562	633.998779296875	605.793212890625	609.77978515625
A0JLT2	142.14878845214844	163.5750732421875	170.2980499267578	158.906982421875
A0JNW5	68.49757385253906	94.08516693115234	67.80509948730469	75.00326538085938
A0MZ66	711.6777954101562	716.5621948242188	740.823974609375	723.734375
A0PJW6	333.9945373535156	299.4208679199219	356.63873291015625	278.44805908203125
A0PK00	271.9332580566406	299.46148681640625	243.89466857910156	277.3495788574219
